77,工银信用纯债一年定开债C,2020/7/17,1.478,1.4789,0.06,2020/7/21 15:00
,,,,,,
85,博时安盈债券C,2020/7/20,1.2366,1.2372,0.05,2020/7/21 15:00
,,,,,,
79,工银信用纯债两年定开债C,2020/7/17,1.333,1.3338,0.06,2020/7/21 15:00
,,,,,,
80,天治可转债增强债券A,2020/7/20,1.444,1.4416,-0.17,2020/7/21 15:00
,,,,,,
78,工银信用纯债两年定开债A,2020/7/17,1.37,1.3708,0.06,2020/7/21 15:00
,,,,,,
82,嘉实研究阿尔法股票,2020/7/20,1.654,1.6556,0.1,2020/7/21 15:00
,,,,,,
87,嘉实中证金边国债ETF联接A,2020/7/20,1.0443,1.0448,0.05,2020/7/21 15:00
,,,,,,
86,南方稳利1年定开债A,2020/7/20,1.035,1.0357,0.07,2020/7/21 15:00
,,,,,,
83,汇添富消费行业混合,2020/7/20,6.908,7.0246,1.69,2020/7/21 15:00
,,,,,,
118,广发聚鑫债券A,2020/7/20,1.514,1.5192,0.34,2020/7/21 15:00
,,,,,,
107,富国稳健增强债券A/B,2020/7/20,1.203,1.2041,0.1,2020/7/21 15:00
,,,,,,
126,招商安润混合,2020/7/20,2.0993,2.1511,2.47,2020/7/21 15:00
,,,,,,
105,建信安心回报债券A,2020/7/20,1.367,1.3677,0.05,2020/7/21 15:00
,,,,,,
91,信诚新双盈分级债券,2020/6/22,1,0.9985,-0.15,2020/7/6 15:00
,,,,,,
81,天治可转债增强债券C,2020/7/20,1.408,1.4057,-0.17,2020/7/21 15:00
,,,,,,
121,华夏永福混合A,2020/7/20,2.147,2.1509,0.18,2020/7/21 15:00
,,,,,,
109,富国稳健增强债券C,2020/7/20,1.183,1.1841,0.1,2020/7/21 15:00
,,,,,,
93,信诚新双盈分级债券B,2020/6/22,0.991,0.9872,-0.38,2020/7/6 15:00
,,,,,,
113,嘉实如意宝定期债券A/B,2020/7/20,1.16,1.1608,0.07,2020/7/21 15:00
,,,,,,
128,大成景安短融债券A,2020/7/20,1.266,1.2664,0.03,2020/7/21 15:00
,,,,,,
106,建信安心回报债券C,2020/7/20,1.329,1.3297,0.05,2020/7/21 15:00
,,,,,,
88,嘉实中证金边国债ETF联接C,2020/7/20,1.0394,1.0399,0.05,2020/7/21 15:00
,,,,,,
119,广发聚鑫债券C,2020/7/20,1.509,1.5142,0.34,2020/7/21 15:00
,,,,,,
127,农银行业领先混合,2020/7/20,3.2548,3.3163,1.89,2020/7/21 15:00
,,,,,,
92,信诚新双盈分级债券A,2020/6/22,1.001,1.0009,-0.01,2020/7/6 15:00
,,,,,,
